,strain,diet,BodyWeight_Wk8_[g],BodyWeight_Wk16_[g],BodyWeight_Wk28_[g],BodyWeight_Sacrifice_[g],BodyWeight_NIBP_[g],BodyWeight_preCLAMS_[g],FatMass_preCLAMS_[g],FatMass_preCLAMS_[%],LeanMass_preCLAMS_[g],LeanMass_preCLAMS_[%],BodyWeight_preWheel_[g],FatMass_preWheel_[g],FatMass_preWheel_[%],LeanMass_preWheel_[g],LeanMass_preWheel_[%],BodyWeight_postWheel_[g],FatMass_postWheel_[g],FatMass_postWheel_[%],LeanMass_postWheel_[g],LeanMass_postWheel_[%],BWGain_8-16Weeks_[g],BWGain_8-16Weeks_[%],BWGain_8-28Weeks_[g],BWGain_8-28Weeks_[%],BWLoss_AfterExercise_[%],FatMassLoss_AfterExercise_[%],DiastolicBP_NIBP_[mmHg],SystolicBP_NIBP_[mmHg],HeartRate_NIBP_[bpm],DayRER_CLAMS_[ratio],NightRER_CLAMS_[ratio],24hRER_CLAMS_[ratio],DayVO2_CLAMS_[mL/kg/hr],NightVO2_CLAMS_[mL/kg/hr],24hVO2_CLAMS_[mL/kg/hr],DayVCO2_CLAMS_[mL/kg/hr],NightVCO2_CLAMS_[mL/kg/hr],24hVCO2_CLAMS_[mL/kg/hr],NightXTot_CLAMS_[#/12hr],NightZTot_CLAMS_[#/12hr],FoodInTotal_CLAMS_[g],FoodInTotal_CLAMS_[kCal],WaterInTotal_CLAMS_[mL],VO2_LeanBWCor_Day,VO2_LeanBWCor_Night,Glucose0min_OGTT_[mg/dL],Glucose15min_OGTT_[mg/dL],Glucose30min_OGTT_[mg/dL],Glucose45min_OGTT_[mg/dL],Glucose60min_OGTT_[mg/dL],Glucose90min_OGTT_[mg/dL],Glucose120min_OGTT_[mg/dL],Glucose150min_OGTT_[mg/dL],Glucose180min_OGTT_[mg/dL],GlucoseAUC_OGTT_[AUC],InsulinAUC_OGTT_[AUC],Insulin0min_OGTT_[ng/mL],Insulin15min_OGTT_[ng/mL],Insulin30min_OGTT_[ng/mL],Fasted_Glucose_Insulin_[ratio],Glucose_Insulin_15m_OGTT[ratio],Glucose_Insulin_30m_OGTT[ratio],Glucose*Insulin_Fasted,OGTT_Homa_IR,OGTT_Homa_B,0H_ColdTest_[°C],1H_ColdTest_[°C],2H_ColdTest_[°C],3H_ColdTest_[°C],4H_ColdTest_[°C],5H_ColdTest_[°C],6H_ColdTest_[°C],Decrease_0-3H_[%],Decrease_0-6H_[%],Decrease_3-6H_[%],24hXYTot_TSE_[#/hr],DayXYTot_TSE_[#/hr],NightXYTot_TSE_[#/hr],24hZTot_TSE_[#/hr],DayZTot_TSE_[#/hr],NightZTot_TSE_[#/hr],FoodInTotal_TSE_[g],FoodInTotal_TSE_[kCal],BodyWeight_TSE,Dist_pre_[m],Dist_post_[m],Improvement_[meters],VO2Basal_pre,VO2Max_pre,RERBasal_pre,RERMax_pre,VO2Basal_post,VO2Max_post,RERBasal_post,RERMax_post,deltaVO2bas_Improve,deltaVO2m_Improve [mL/kg/min],DayRun_ActivityWheel_[km],NightRun_ActivityWheel_[km],24hRun_ActivityWheel_[km],Liver_[g],Heart_[g],scWAT_[g],perirenalWAT_[g],Kidney_[g],epididymalWAT_[g],Gastrocnemius_[g],Soleus_[g],Liver_[%],Heart_[%],scWAT_[%],perirenalWAT_[%],Kidney_[%],epididymalWAT_[%],Gastrocnemius_[%],Soleus_[%],Glucose_[mmol/L],Cholesterol_[mmol/L],HDL_[mmol/L]_KNOWN_BATCH_EFFECT_BY_COHORT_ORDER,HDL_Norm[Z],LDL_[mmol/L],Triglycerides_[mmol/L],FFA_[mmol/L]_KNOWN_BATCH_EFFECT_BY_COHORT_ORDER,FFA_Norm[Z],LacticAcid_[mmol/L],BloodProtein_[g/L],ALAT_[U/L]_KNOWN_BATCH_EFFECT_BY_COHORT_ORDER,ASAT_[U/L],ASAT_Norm[Z],LDH_[U/L]_KNOWN_BATCH_EFFECT_BY_COHORT_ORDER,LDH_Norm[Z],ALPL_[U/L],Amylase_[U/L],CreatineKinase_[U/L],Creatinine_[U/L]_KNOWN_BATCH_EFFECT_BY_COHORT_ORDER,Creatinine_Norm[Z],Iron_[umol/L],RBC.TotalRedBloodCells_[#*10^6/uL],%RBCm.MatureRBC_[%],#RBCm.MatureRBC_[#*10^9/L],HGB.Hemoglobin_[g/dL],HCT.Hematocrit_[%],MCV.MeanCorpuscularVolume_[fL/RBC],MCH.MeanCorpuscularHemoglobin_[pg/RBC],MCHC.MeanCorpuscularHemoglobinConcentration_[g/dL],CH.RedCellHemoglobinContent_[pg/RBC],RDW.RedCellDistributionWidth_[%],HDW.HemoglobinConcentrationDistributionWidth_[g/dL],%RETIC.ReticulocytePercent_[%],#RETIC.ReticulocyteCount_[#*10^9/L],MCVr.MeanCorpuscularVolumeofReticulocytes_[fL/RTC],MCHCr.MeanCorpuscularHemoglobinConcentrationofReticulocytes_[g/dL],CHr.RedCellHemoglobinContentofReticulocytes_[pg/RTC],%LRTC_PercentageofLowMatureReticulocytes_[%],#LRTC_CountofLowMatureReticulocytes_[#*10^9/L],%MRTC_PercentageofMediumMatureReticulocytes_[%],#MRTC_CountofMediumMatureReticulocytes_[#*10^9/L],%HRTC_PercentageofHighMatureReticulocytes_[%],#HRTC_CountofHighMatureReticulocytes_[#*10^9/L],PLT.Platelets_[#*10^3/µL],MPV.MeanPlateletVolume_[fL/PLT],PDW.PlateletDistributionWidth_[%],PCT.Plateletcrit_[%],MPC.MeanPlateletComponentConcentration_[g/dL],PCDW.PlateletComponentDistributionWidth_[g/dL],MPM.MeanPlateletMass_[pg/PLT],WBC.WhiteBloodCell_[#*10^3/µL],%NEUTR.Neutrophil_[%],%LYMPH.Lymphocyte_[%],%MONO.Monocyte_[%],%EOS.Eosinophil_[%],%BASO.Basophil_[%],%LUC.LargeUnknownCells_[%],#NEUTR.Neutrophil_[#*10^3/µL],#LYMPH.Lymphocyte_[#*10^3/µL],#MONO.Monocyte_[#*10^3/µL],#EOS.Eosinophil_[#*10^3/µL],#BASO.Basophil_[#*10^3/µL],#LUC.LargeUnknownCells_[#*10^3/µL]
10,BXD16,CD,33.714000000000006,46.832,52.91000000000001,51.96,48.61,46.832,16.373200000000004,34.8,30.0696,64.36,51.212500000000006,18.12025,35.33322439095101,32.44975,63.4103267143481,51.157500000000006,17.77825,34.66220665932328,32.6505,63.92402003709294,13.118,39.08983792503311,18.642500000000002,55.1271644229796,0.18958902719455728,2.1202414966245096,78.0,108.5,713.5,0.7767999999999999,0.8030000000000002,0.792,2068.1078,2343.4665999999997,2227.994,1611.4,1886.256,1770.994,20346.2,5362.6,1.4180000000000006,4.395800000000002,0.752,3219.4249033917686,3643.989253456412,104.6,334.25,375.0,400.0,383.75,266.0,212.75,159.25,143.25,47331.0,70.24000000000001,0.9786537499999999,3.0681999999999996,2.2480525,2685553.4229773832,1207971.957105072,1799739.617184747,105.700328,4.695510970092873,8.096860992020593,36.45,35.825,35.275000000000006,35.099999999999994,35.150000000000006,35.575,35.150000000000006,3.6881033383776733,3.5486155977701594,-0.15131638726091706,3599.0,3059.0,4139.0,557.0,371.0,743.0,4.984999999999999,15.453499999999998,50.9,192.5,197.0,4.5,54.087500000000006,78.25,0.877,1.009,57.8725,80.5,0.8598750000000001,0.9922499999999999,3.7849999999999984,2.25,0.05279249999999999,0.543595625,0.581875,2.904,0.228775,1.1945,1.5102,0.46965,2.4101500000000002,0.35500000000000004,0.0181,5.517755056235032,0.4402562164038719,2.2795859044646676,2.929657496058258,0.9057079435354461,4.687828016637958,0.6845162027531777,0.034934982606616746,12.475000000000001,4.15,3.4825,,0.23249999999999998,1.8824999999999998,0.76,,4.875000000000001,56.25,86.25,63.25,,378.25,,183.5,1282.5,79.5,,,25.625,10.0,97.32499999999999,85869.25,12.799999999999999,45.375,45.349999999999994,12.799999999999999,28.225,13.624999999999998,14.399999999999999,2.065,2.675,268.125,53.525,25.475,13.625,48.725,130.28517499999998,40.35,108.377625,10.925,29.462200000000003,1672.5,4.8999999999999995,46.9,0.38,245.75,75.825,1.085,5.225,16.95,76.225,2.05,4.375,0.30000000000000004,0.1,0.8225,4.0649999999999995,0.11249999999999999,0.1975,0.0125,0.005
11,BXD16,HFD,29.926,52.434000000000005,61.148,58.098,54.126,52.434000000000005,22.2108,42.29,30.1826,57.68,60.41200000000001,26.357400000000002,43.59570971617221,33.7558,55.908471524301376,59.084,25.601800000000004,43.29874910673778,33.2844,56.375461932816485,22.508,75.24752342198393,31.222,104.82982927909407,2.2762137256355253,2.9436395603589838,89.33333333333333,113.0,702.8333333333334,0.7642,0.7732000000000001,0.769,2190.0768000000003,2558.0332,2403.729,1676.308,1980.433,1852.897,19861.2,5340.0,2.165999999999997,11.046599999999984,1.316,3805.5089070992167,4443.566262304885,148.4,426.0,502.0,544.4,509.2,388.2,252.4,181.4,150.4,61356.2,98.07000000000001,1.5164958,4.434239999999999,2.691814,1472616.933922419,1211445.5586876113,2163371.3760582013,226.70450960000002,10.070523981801013,6.396258385373109,37.260000000000005,36.0,35.160000000000004,34.74,34.86,34.839999999999996,35.220000000000006,6.757127045073274,5.463770139254137,-1.408851975436431,2241.0,1961.0,2522.0,259.0,146.0,371.0,1.4899999999999949,,60.1,154.2,298.4,144.2,56.992,71.8,0.7938000000000001,0.9236000000000001,56.628,70.4,0.7841,0.9112,-0.3640000000000015,-1.4,0.05589044,0.2392417,0.29600000000000004,2.5181999999999998,0.24484000000000003,2.638,2.05754,0.5024,1.451,0.35514,0.01824,4.315619733734243,0.4223190492993701,4.535965958633082,3.5336277577672255,0.8668618952824028,2.516437658472082,0.6115765531012499,0.03137557940150676,12.879999999999999,4.9399999999999995,4.220000000000001,,0.43000000000000005,1.3800000000000001,0.586,,2.52,54.96,102.6,88.6,,442.0,,106.4,1202.2,127.2,3.0,,19.68,9.204,95.7,77417.6,12.0,42.92,46.68,13.059999999999999,27.96,13.9,14.540000000000001,2.168,4.3,390.48,55.06,24.86,13.64,45.0,174.76924,39.160000000000004,153.9084,15.86,61.88528,1498.8,5.46,55.779999999999994,0.40199999999999997,230.2,77.47999999999999,1.1,5.960000000000001,27.1,64.36,3.22,4.9399999999999995,0.22000000000000003,0.21999999999999997,1.288,4.236,0.176,0.22800000000000004,0.016,0.008
12,BXD2,CD,29.654999999999998,35.1875,36.255,35.3825,36.3875,35.962500000000006,9.12825,25.117,26.0275,72.6,36.417500000000004,9.626750000000001,26.297422228153646,25.58,70.34128459693815,36.087500000000006,8.614,23.719750147887737,26.47975,73.50063282154912,5.532500000000001,18.767491379681346,6.600000000000001,22.86422442409872,0.8790752028734229,11.177424686065134,77.0,109.75,626.0,0.77775,0.8202499999999999,0.802,2614.4809999999998,2966.33325,2818.782,2044.942,2445.417,2277.476,24055.0,7259.0,1.6362499999999933,5.07237499999998,1.985,3591.4579018662807,4074.049258297002,115.0,235.75,220.25,215.75,207.75,167.5,140.0,122.0,120.25,30302.0,33.68,0.35526075,1.5937212500000002,0.9478982500000002,2397361.4737172048,2177327.5889748414,2532097.5911454675,40.20490475,1.786008584922799,2.57179478342246,36.475,36.45,35.95,35.825,34.325,35.625,36.0,1.772469670150203,1.2961552168606438,-0.484844442871298,3539.90625,2322.0,4758.0,436.2361111111111,273.97222222222223,598.0,3.504999999999999,10.865499999999997,37.8825,275.5,387.25,111.75,72.03999999999999,86.5,0.81075,0.9177500000000001,71.4625,90.25,0.82525,0.97575,-0.5775000000000006,3.75,0.0649406,0.40892734999999997,0.47375,1.5501666666666667,0.14266666666666666,0.9709,0.5656333333333333,0.4616,1.3612666666666666,0.2899,0.013524999999999999,4.258137615093834,0.3941625184729098,2.6501716393545283,1.553766715221755,1.2735150215775128,3.7392300187630223,0.8214055832887407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,BXD2,HFD,27.606,42.041999999999994,46.246,45.61,43.922000000000004,42.194,15.081399999999999,35.37,26.804000000000002,63.88,45.688,17.964000000000002,39.020988258691,27.0128,59.37251083102834,42.90599999999999,15.335000000000003,34.87943661965819,27.330000000000002,64.51162556722804,14.436000000000002,51.93987180955859,18.640000000000004,66.6909873254452,6.518781380891099,16.43639860983701,76.2,107.8,653.0,0.7620000000000001,0.7726,0.768,2526.7748,2823.7889999999998,2694.676,1933.162,2190.311,2078.588,20920.6,7506.0,1.6070000000000022,8.195700000000011,1.42,3958.3583116273803,4427.678810563664,146.6,268.6,228.4,240.8,250.0,187.6,166.6,150.0,153.2,35215.8,107.76799999999999,1.6462998,5.017704,2.6858820000000003,1023519.2382009157,654170.2876326046,1018046.7079542561,252.10431640000002,11.198783621075744,6.9008598845852465,37.019999999999996,36.64,36.08,36.160000000000004,34.7,36.08,36.18,2.3266501750416695,2.267296048016919,-0.072693308954856,2985.9916666666672,2111.6833333333334,3860.0,225.07291666666666,96.25,354.0,2.77,14.154700000000002,46.14200000000001,199.0,318.8,119.8,64.654,75.8,0.765,0.892,74.13,84.8,0.7742,0.8997999999999999,9.475999999999997,9.0,0.11029971999999999,2.05035412,2.1588000000000003,1.93922,0.18380000000000002,2.07728,1.33182,0.50044,2.1608599999999996,0.29745999999999995,,4.219810049320432,0.40471373139656397,4.43214802596191,2.7955072510144037,1.1044166090822238,4.6862398633316165,0.6673306140994523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,BXD27,CD,29.144,40.076,33.66,33.138,37.486000000000004,39.876,13.676,34.22,25.803,64.8,39.342,11.4768,28.996811420384425,27.3286,69.64343767082728,30.988,4.0388,13.365398035029106,26.072000000000003,85.2812370602341,10.931999999999999,37.826193618582515,4.515999999999999,15.645463401704678,21.364343842158682,62.48486830084418,83.8,107.8,718.4,0.7888,0.851,0.825,2121.1842,2610.8666000000003,2410.938,1678.769,2224.991,2001.879,26532.4,5856.8,1.9410000000000054,6.017100000000017,1.236,3283.036421691496,4041.0368214615323,122.6,381.6,503.8,512.8,473.4,317.2,195.2,145.4,131.0,54243.0,79.7225,1.760703125,3.0671675,2.73488,825769.8060577074,1292057.6956033313,2133632.0724413274,224.775806875,9.985010382417482,10.0799681112187,36.96,34.8,35.279999999999994,35.2,34.459999999999994,34.459999999999994,34.480000000000004,4.760512821175434,6.705612979196125,2.0442114709225856,3946.7583333333337,2390.8833333333337,5503.0,400.4916666666667,129.08333333333334,672.0,4.865999999999994,15.084599999999982,39.876,321.2,427.75,109.25,70.46000000000001,86.0,0.8518000000000001,0.9516,93.87999999999998,108.6,0.8230000000000001,0.8868,23.420000000000005,22.6,0.57079126,3.3723615799999997,3.942,1.28424,0.22635999999999998,0.58458,0.5348200000000001,0.47661999999999993,0.9260400000000001,0.2648,,3.891195566942929,0.6862330248594168,1.7384589245519138,1.5870264448372495,1.4480289160144182,2.75636788010293,0.802361376930995,,9.940000000000001,3.4799999999999995,3.0620000000000003,,0.20800000000000002,1.04,0.748,,2.3600000000000003,56.08,44.8,53.4,,171.6,,81.6,1108.0,96.2,3.0,,26.0,10.868,96.82000000000001,87450.8,13.8,47.8,43.980000000000004,12.66,28.78,13.459999999999999,13.36,2.226,3.1799999999999997,346.2,51.459999999999994,25.619999999999997,13.1,55.120000000000005,190.55515999999997,37.0,128.25727999999998,7.860000000000001,27.324879999999997,706.8,6.659999999999999,60.14,0.23399999999999999,214.2,76.94,1.226,7.596000000000001,8.559999999999999,87.14,1.08,2.84,0.1,0.24,0.636,6.647999999999999,0.08,0.20399999999999996,0.004,0.016
15,BXD27,HFD,31.7375,47.302499999999995,41.205,40.4925,47.6825,47.302499999999995,21.204,44.85,25.956500000000002,54.85,49.5075,21.72025,43.89201553106146,27.388,55.30327618966266,36.58,10.09125,26.68500019077015,25.5625,70.75261147340167,15.565000000000001,50.2573413885606,9.467500000000001,31.56756833296028,25.909314824418388,53.34657155404511,90.5,108.25,706.25,0.75275,0.76925,0.763,2326.19225,2598.8225,2489.525,1754.365,2003.767,1903.777,24296.0,8765.0,1.9625000000000021,10.00875000000001,0.635,4242.8102860330155,4741.111078844631,175.875,387.25,490.25,553.25,586.5,489.75,379.5,236.0,197.0,72093.25,113.445,4.431935,3.6529,3.3884875,471836.3034285536,1275923.389521958,1566589.2075122017,764.258235,33.9488631654028,15.287579331489145,36.55,33.425,32.925,32.325,32.6,32.46666666666667,33.1,11.568429734872074,9.566645515284984,1.7884818598097858,3646.0,2041.0,5207.0,444.0,168.0,713.0,,,51.224999999999994,191.5,496.75,305.25,63.13333333333333,76.33333333333333,0.7653333333333334,0.9356666666666666,89.0625,105.0,0.7715000000000001,0.838,31.116666666666664,29.0,0.40508875,4.386248325,4.79,1.5614999999999999,0.25015,1.29665,1.002475,0.5217333333333333,1.021875,0.28364999999999996,0.020200000000000003,3.844595284450925,0.6217110729920866,3.1582232347325356,2.4624281552913674,1.2593706681769792,2.5061897810606126,0.7051552992651138,0.05065843265587547,8.45,4.525,4.18,,0.305,0.9724999999999999,0.7324999999999999,,3.05,54.85,91.75,123.0,,514.0,,74.0,1212.0,282.5,,,23.85,11.004999999999999,96.05,86518.5,15.05,51.55,46.8,13.65,29.2,13.75,15.500000000000002,2.2875,3.95,432.4,59.775,22.9,13.6,37.825,162.15585,38.974999999999994,168.32265,23.2,101.9156,918.5,9.149999999999999,54.949999999999996,0.42000000000000004,176.5,66.35,1.3775,12.565000000000001,8.4,87.0,1.5,2.25,0.325,0.5499999999999999,1.0150000000000001,10.945,0.21,0.27499999999999997,0.045,0.075
16,BXD32,CD,28.588,32.2,35.66199999999999,34.206,32.410000000000004,32.198,5.45,16.58,25.47,79.44,34.478,6.895999999999999,19.73224614254616,26.2782,76.46931770991587,33.78,6.0,17.266034665035058,26.080000000000002,77.64235690037951,3.6099999999999994,12.556635573432223,7.073999999999998,24.8765509181564,1.9847169359669465,13.38382431132377,65.4,103.8,715.0,0.8093999999999999,0.8618,0.8398,2584.6,2800.0,2790.0,2104.0,2542.0,2359.0,34094.0,10026.0,,,2.224,3255.835408675781,3533.8922427273747,90.8,274.0,297.4,256.2,210.4,141.0,115.4,101.0,92.2,29934.0,18.9,0.039999999999999994,0.8379999999999999,0.804,27166666.666666668,6423133.957821458,7423728.265154054,3.8480000000000003,0.1709412676842398,0.43387012987012985,37.08,37.239999999999995,35.98,35.760000000000005,36.760000000000005,36.459999999999994,35.8,3.553626622634198,3.4450136208778788,-0.13987824425347828,4515.0,2786.0,6243.0,564.0,230.0,897.0,4.168000000000001,12.920800000000003,34.602000000000004,372.4,835.2,462.8,83.49999999999999,115.6,0.8300000000000001,0.9471999999999999,104.82000000000001,142.6,0.8353999999999999,0.9931999999999999,21.32,27.0,0.154,1.593,1.8558,1.3448600000000002,0.1689,0.4208,0.5894199999999999,0.6708999999999999,1.2911,0.29808,0.01552,3.940564676111876,0.4969759869194654,1.2193881701320186,1.6929374253383487,1.9737892524043772,3.7375421283111834,0.8745257678174297,0.045,13.319999999999999,3.06,2.856,,0.158,1.238,1.23,,3.5799999999999996,49.5,58.2,37.2,,149.2,,84.0,976.0,160.8,9.333333333333334,,30.2,9.92,98.15,85785.13,12.96,40.94,41.3,13.08,31.65,12.75,13.98,1.87,1.85,180.1,53.8,24.73,13.23,56.38,101.33,37.3,67.15,6.3,11.51,1385.8,5.83,55.55,0.39,220.0,81.6,1.1,3.61,22.55,70.3,2.7,3.2,0.13,1.13,0.81,2.54,0.09,0.12,0.0,0.05
17,BXD32,HFD,28.025000000000002,45.12,51.20666666666667,48.47,45.14333333333334,46.2375,15.729,33.99,28.81875,62.35,49.75666666666666,18.361666666666668,36.70444575935178,29.787333333333333,60.0263738962506,48.623333333333335,17.379,35.52016623670214,29.802666666666667,61.45464377082575,17.09,60.97024076885586,23.81,86.68547007169468,2.2541653214204294,5.4267062530680334,62.0,108.0,691.0,0.7865,0.7895000000000001,0.788,2187.8655,2541.2777499999997,2393.073,1724.481,2008.236,1889.242,23695.75,5599.25,,,0.965,3510.4537172935516,4076.891246184721,130.75,298.0,299.7,368.0,362.0,308.0,235.0,175.3,168.3,47758.0,157.83333333333334,1.7200000000000002,6.436666666666667,6.286666666666666,815709.7913048429,459950.53171076387,523081.8914872331,235.46,10.459538253664398,9.15672243411928,37.63333333333333,36.166666666666664,35.53333333333333,35.56666666666667,35.76666666666667,36.0,35.266666666666666,5.478276165347402,6.283905013192608,0.8076848734156248,2918.0,2368.0,3467.0,111.0,74.0,149.0,3.14,16.01,50.199999999999996,209.66666666666666,369.0,159.33333333333334,58.36666666666667,73.0,0.7803333333333334,0.9606666666666666,79.66666666666666,96.66666666666667,0.79,0.9010000000000001,21.299999999999994,23.666666666666668,0.069,0.999,1.0673333333333332,1.6903333333333332,0.19533333333333336,1.9254666666666667,1.6524333333333334,0.6654333333333333,2.2922,0.32670000000000005,0.0174,3.4372381204946407,0.4044295382390522,3.938077388981799,3.3767692656617996,1.3742074485978886,4.742951247701741,0.6766742308373747,0.0361,11.933333333333332,3.8333333333333335,2.65,,0.24666666666666667,0.93,0.9566666666666667,,2.6666666666666665,55.5,44.333333333333336,55.333333333333336,,224.66666666666666,,51.333333333333336,1046.0,96.66666666666667,2.0,,22.0,10.44,97.83,86648.0,14.33,45.87,44.0,13.73,31.13,13.37,15.07,1.99,2.17,221.2,52.67,25.5,13.33,53.03,115.92,39.53,88.47,7.43,16.81,1358.67,6.43,55.83,0.44,205.0,77.53,1.12,6.79,21.1,72.2,3.97,1.9,0.07,0.77,1.42,4.88,0.31,0.12,0.0,0.05
18,BXD34,CD,26.2625,33.8575,37.9225,36.455,33.8825,33.8575,7.7,22.55,25.9,76.137,35.995,7.8702499999999995,21.861750291770278,27.46825,76.31114314000209,35.085,6.37025,18.120911670080012,28.397,80.97100798429702,7.5950000000000015,28.949630511675245,11.66,44.4368499728625,2.4827676111028514,19.016479368422154,75.0,107.75,698.5,0.8372499999999999,0.901,0.874,2591.82675,3095.139,2884.073,2174.269,2790.236,2531.927,21598.0,3803.75,2.835000000000001,8.788500000000003,1.735,3330.1572741554314,4025.815962939325,100.75,388.5,376.25,350.25,325.5,277.8,179.25,150.75,130.25,43101.0,39.82000000000001,0.24800000000000003,1.90025,1.2603125,5206732.215400706,2327892.3621958983,3228081.0015433994,25.645500000000002,1.139251638848404,2.2819859083191854,36.55,36.224999999999994,35.550000000000004,34.449999999999996,34.075,34.55,34.6,5.736416234823896,5.319627797019596,-0.43160426550238784,3701.614583333333,2613.621428571429,4738.0,468.77777777777777,100.14285714285715,838.0,4.760000000000005,14.756000000000016,35.5225,161.5,497.25,335.75,80.2,88.25,0.8212499999999999,0.918,88.2325,107.75,0.827375,0.904,8.032500000000002,19.5,0.0070902000000000005,5.268185900000001,5.2725,1.3639000000000001,0.205625,0.5078,1.113975,0.567025,1.66955,0.28117499999999995,,3.7417354518016666,0.5648483336874783,1.385145307654878,3.0445473123749176,1.558315693862677,4.573030654665279,0.7707025916134488,,17.3,2.85,2.6375,,0.1375,0.4825,0.7425,,2.8,51.47500000000001,26.75,22.0,,140.75,,76.0,1053.25,55.0,4.0,,31.85,10.024999999999999,98.42500000000001,84566.5,14.45,44.2,44.05,14.425,32.724999999999994,14.125,12.525,1.94,1.5750000000000002,160.5,52.425,26.825,14.0,63.575,101.30949999999999,31.049999999999997,50.5453,5.374999999999999,8.635749999999998,1046.0,7.6,57.300000000000004,0.3975,183.5,73.375,1.1724999999999999,3.0949999999999998,15.174999999999999,73.875,2.3,8.375,0.15,0.125,0.45499999999999996,2.3049999999999997,0.07500000000000001,0.25,0.005,0.0
19,BXD34,HFD,24.842000000000002,33.446000000000005,38.9,36.564,36.022,33.446000000000005,8.13,23.07,25.005199999999995,75.97,41.263999999999996,13.7678,32.154735169575574,26.987599999999997,66.55007225112442,37.204,9.3282,24.416688472605234,27.542,74.66887245528896,8.604,34.30050247979038,14.058000000000002,56.30180192592379,9.014732033354525,30.431766979478585,80.0,117.0,720.6,0.7906,0.8046000000000001,0.799,2882.4616,3372.5778,3167.045,2288.231,2718.911,2538.303,19501.8,4209.0,2.2430000000000008,11.439300000000003,1.812,3801.119148953102,4451.15560249727,103.8,338.2,373.2,338.6,335.0,534.8,167.8,139.2,119.8,41517.4,42.994,0.15520798,1.938287,1.7005914,9502384.849843634,2805527.6522296034,2954451.0424235095,18.5376748,0.8234880924407338,1.0040386646784716,37.0,35.36,34.720000000000006,34.260000000000005,33.8,34.5,34.92,7.404191106500766,5.6106429858922,-1.9420893405457587,3234.4333333333334,1963.8514285714286,4395.0,385.2166666666667,90.39428571428572,657.0,,,41.205999999999996,234.2,465.0,230.8,79.85999999999999,85.2,0.7776000000000001,0.8554,83.66600000000001,94.8,0.7508,0.8283999999999999,3.806,9.6,0.039235320000000004,3.75886224,4.0925,1.2837,0.19762,0.7271599999999999,1.2216,1.01546,1.7048999999999999,0.30048,,3.580803529847418,0.5542331920107155,1.8316561220484047,3.059193645436083,2.840305176825889,4.540095721078417,0.8354417938115637,,8.72,4.24,3.902,,0.264,1.15,0.95,,0.36000000000000004,51.32000000000001,18.2,23.8,,279.8,,42.8,980.4,70.4,3.0,,13.1,8.916666666666668,97.94999999999999,77713.05555555556,12.327777777777778,39.36666666666667,44.2,13.799999999999999,31.225,13.974999999999998,13.375,1.9825,2.05,182.71666666666667,50.8,26.675,13.5,67.44999999999999,123.07908333333333,29.575000000000003,54.18043333333333,2.9749999999999996,5.45715,1123.5,6.65,53.375,0.3675,207.25,75.92500000000001,1.1724999999999999,4.464444444444444,33.075,56.824999999999996,2.175,7.6,0.1,0.25000000000000006,1.378888888888889,2.643333333333333,0.09333333333333332,0.3183333333333333,0.0,0.01
20,BXD39,CD,28.96,41.470000000000006,45.506,43.077999999999996,41.718,41.007999999999996,15.0572,36.74,25.701999999999998,62.668,43.708,15.472399999999999,35.42455574460656,27.5884,63.11003408299401,43.864,15.0472,34.28606370133392,28.1312,64.15987219758696,12.510000000000002,43.264713126802285,16.546,57.39504959960777,-0.3492886466318773,2.771758553680935,58.0,89.4,665.0,0.7404,0.7609999999999999,0.752,2237.0374,2631.2136,2466.0,1660.0,2009.0,1863.0,17294.2,3139.8,1.0309999999999946,3.1960999999999835,,3572.6745033044135,4200.6494903279245,153.4,408.4,381.4,381.2,347.0,277.8,248.6,225.2,200.4,52077.0,90.45599999999999,0.7390956,4.384176,2.550456,2573102.957549201,1022532.7685860271,1649187.6041615945,119.62417559999999,5.313820296537775,2.8968498474061457,36.76,35.02,34.94,35.339999999999996,35.760000000000005,35.4,35.78,3.8638831548169756,2.6603498907860215,-1.2680077940002994,2927.0,2033.0,3821.0,278.0,87.0,469.0,3.896,12.0776,44.346000000000004,235.8,421.4,185.6,62.620000000000005,80.0,0.8314,0.9404,70.37,88.0,0.8523999999999999,0.9852000000000001,7.750000000000003,8.0,0.0255427,0.5916011,0.618,1.8094000000000001,0.1824,1.22462,0.55518,0.440625,2.2038800000000003,0.33702,0.020560000000000002,4.0535003794771125,0.4234004893428741,2.8323402386950693,1.2904506101159618,1.0435832974312105,5.11135078999744,0.7833166366152439,0.04567161106735934,18.080000000000002,2.5799999999999996,2.322,,0.174,0.8160000000000001,0.4699999999999999,,3.3,51.82000000000001,196.8,145.8,,745.6,,86.0,1205.4,181.2,6.0,,21.16,10.829999999999998,97.075,87386.5,15.600000000000001,50.05,46.175000000000004,14.400000000000002,31.225,14.5,14.375,2.2975000000000003,2.925,316.3,57.7,26.95,15.475000000000001,62.65,198.13520000000003,32.65,103.25295,4.75,15.0756,1069.0,6.2250000000000005,52.650000000000006,0.335,225.75,76.95,1.2425000000000002,6.1899999999999995,6.375,82.92500000000001,4.275,2.8249999999999997,0.325,3.1999999999999997,0.38,5.18,0.305,0.14500000000000002,0.015,0.16000000000000003
