raw_p_values	sidak	holm-sidak	holm	simes-hochberg	hommel	fdr_bh	fdr_by	fdr_tsbh	fdr_tsbky	fd	is_intersting
0.011047433361635694	1.0	1.0	1.0	0.9999724202693399	0.99997242026934	0.027006348796609424	0.28541681410881264	0.014607051948154672	0.015459480415781109	-0.0430416666666682	False
0.17589914394607747	1.0	1.0	1.0	0.9999724202693399	0.99997242026934	0.2653373269818723	1.0	0.14351425837673054	0.15188936649470197	-0.08370000000000388	False
0.602465997231361	1.0	1.0	1.0	0.9999724202693399	0.99997242026934	0.6952877933164253	1.0	0.37606360609420575	0.3980096719130141	-0.012174999999999159	False
0.5792773423311008	1.0	1.0	1.0	0.9999724202693399	0.99997242026934	0.6758132490809782	1.0	0.365530316997772	0.38686168824881895	0.008499999999996177	False
0.06630665910391116	1.0	1.0	1.0	0.9999724202693399	0.99997242026934	0.12002038477442596	1.0	0.06491599469594553	0.06870431845076734	-0.06343750000000092	False
0.010238234535376065	1.0	1.0	1.0	0.9999724202693399	0.99997242026934	0.025346352265246046	0.26787312743788816	0.013709201751891723	0.014509234084440732	-0.1525749999999988	False
0.13472210941184576	1.0	1.0	1.0	0.9999724202693399	0.99997242026934	0.21407883407376846	1.0	0.11578983422996131	0.12254701913692909	-0.04804999999999815	False
0.0046238797034493006	1.0	1.0	1.0	0.9999724202693399	0.99997242026934	0.012841823114324025	0.1357189106992293	0.006945817768727581	0.007351157108795916	0.20599999999999774	False
0.14661526045899445	1.0	1.0	1.0	0.9999724202693399	0.99997242026934	0.22935551025377157	1.0	0.12405260252333603	0.13129198047922794	0.052200000000000024	False
0.0371831949102197	1.0	1.0	1.0	0.9999724202693399	0.99997242026934	0.07471885338345731	0.7896668019501876	0.040413540575160556	0.04277196666867458	-0.0560500000000026	False
0.10161444597356872	1.0	1.0	1.0	0.9999724202693399	0.99997242026934	0.17030277661272133	1.0	0.09211247042803933	0.09748790773701518	0.06634999999999458	False
0.31567308580549674	1.0	1.0	1.0	0.9999724202693399	0.99997242026934	0.42330902355634475	1.0	0.2289571590657399	0.24231848624847557	-0.03472500000000167	False
0.00020627078184927859	0.9889396329842768	0.9684185605261123	1.0	0.9999724202693399	0.9999166781482342	0.0008853789112795357	0.00935713413315095	0.0004788790905523845	0.0005068251929409285	-0.1046999999999958	False
0.23309709017011915	1.0	1.0	1.0	0.9999724202693399	0.99997242026934	0.3331811314391563	1.0	0.18020925863505544	0.19072578878334334	0.04910000000000103	False
0.0017818693497680673	1.0	0.9999999999976168	1.0	0.9999724202693399	0.99997242026934	0.005696503258006699	0.06020354042323811	0.0030810947321758234	0.003260899176664865	-0.11466249999999789	False
2.5865144857066955e-05	0.43151067414536337	0.3710417807590556	0.4636844518526393	0.4636844518526393	0.318322337755923	0.00014447823943567587	0.0015269194335873334	7.81446305351652e-05	8.2704942081722e-05	-0.19140000000000157	False
0.4107483334718942	1.0	1.0	1.0	0.9999724202693399	0.99997242026934	0.5194723348600527	1.0	0.28096946529412514	0.2973660914990965	0.04854999999999876	False
0.31336353197328287	1.0	1.0	1.0	0.9999724202693399	0.99997242026934	0.42103825737718487	1.0	0.2277289589935678	0.24101861170638464	0.036550000000003635	False
0.032251643716399644	1.0	1.0	1.0	0.9999724202693399	0.99997242026934	0.06642496283121403	0.7020127530516688	0.03592758465933765	0.03802422236867004	-0.06032500000000063	False
0.008780831470306524	1.0	1.0	1.0	0.9999724202693399	0.99997242026934	0.022206330224014702	0.23468777928181977	0.012010843139254115	0.012711763807465288	-0.06755000000000067	False
3.6302037282434226e-07	0.007895219013099974	0.007073433636213156	0.007098567678527907	0.0070985003702071885	0.006281704531352419	3.47351000903572e-06	3.6709818421604464e-05	1.8787338313126563e-06	1.988371710782655e-06	-0.38654999999999795	True
0.20244359309129906	1.0	1.0	1.0	0.9999724202693399	0.99997242026934	0.29755087751023646	1.0	0.1609377542201004	0.17032965093546815	-0.05287499999999934	False
0.6109761961434325	1.0	1.0	1.0	0.9999724202693399	0.99997242026934	0.7028433987592472	1.0	0.3801502422416629	0.40233479321143034	0.015474999999998573	False
0.0953678967357691	1.0	1.0	1.0	0.9999724202693399	0.99997242026934	0.16166120838642328	1.0	0.08743846443982867	0.09254113926556362	-0.042725000000002566	False
0.824572225726157	1.0	1.0	1.0	0.9999724202693399	0.99997242026934	0.8750685078362399	1.0	0.47330245374609536	0.5009231185320233	0.01034999999999986	False
0.001116050180497963	0.9999999999742494	0.999999967078975	1.0	0.9999724202693399	0.99997242026934	0.0038034892603672583	0.0401972067889236	0.0020572112738693527	0.002177264619335124	-0.1061999999999994	False
0.006732573039659628	1.0	1.0	1.0	0.9999724202693399	0.99997242026934	0.01772862184285673	0.18736508230106805	0.009588963772115317	0.010148550040679405	-0.08417499999999478	False
0.017066824737579183	1.0	1.0	1.0	0.9999724202693399	0.99997242026934	0.03908685946560116	0.41308978811646624	0.021141095044137838	0.022374832783716145	-0.0915750000000024	False
6.75264663190687e-05	0.771104606375745	0.6913895489646124	1.0	0.9999724202693399	0.6724591404125766	0.0003331315842921069	0.003520703823525072	0.00018018245983465912	0.00019069742607666143	0.10607500000000414	False
0.046901255293105876	1.0	1.0	1.0	0.9999724202693399	0.99997242026934	0.09057924193569492	0.9572874457180661	0.048992024147495164	0.051851067588854494	-0.06342500000000051	False
7.558753791456671e-09	0.00016503177158944116	0.00015414890308940166	0.00015416078357675882	0.00015416078357675882	0.00014556648051587258	1.1453531508428621e-07	1.2104673971481174e-06	6.19492590403215e-08	6.556445204037143e-08	0.2967500000000003	True
